Resource Name,Org,Date,URL,Summary,Tool Type,Policy Area,Region,Accessibility Score,Abundance Alignment,Strengths
"Leveraging LIHTC for Housing Abundance","The Niskanen Center","https://drive.google.com/file/d/1Z7ChWxjS0Z9gEM4xe2epjV7l-ZmyHKuv/view","","Research Brief","Land Use; Innovation in Building","National","Unlock Supply"
"Manufactured housing: the ugly duckling of affordable housing","The Niskanen Center","2023","https://drive.google.com/file/d/1RiEBlMK9zru_Iu9CWy2kODCdqx3mqnFx/view","","Research Brief","Land Use; Innovation in Building","National","Unlock Supply"
"New manufactured housing rules: Another step toward abundant housing","The Niskanen Center","2022","https://drive.google.com/file/d/1Z6OR4z1RNMJPy_hZQ65wFHKOKL5wJIup/view","","News Article or Blog","Land Use; Innovation in Building","National","Unlock Supply"
"The three YIMBY bills: How Congress can mitigate underproduction","The Niskanen Center","2022","https://drive.google.com/file/d/16vpEbk-Vv0tC8TvjCVQoiBpGuVXBRPqY/view","","News Article or Blog","Land Use; Innovation in Building","National","Unlock Supply"
"Housing Policies Highlight","Mercatus Center","2025","https://www.mercatus.org/housing-policies-highlight#55723654-3005313297","","Interactive map, Model Policy","Land Use; Innovation in Building","National","Easy to Navigate; Plain Language; Scanable","Unlock Supply","Definitely aligned with housing policy reform in service of greater supply."
"Pro-Homes Messaging Toolkit","Sightline","2025","https://www.sightline.org/the-pro-homes-messaging-toolkit/","","Guide or Toolkit","Land Use","National","Plain Language; Easy to Navigate; Scanable","Unlock Supply","Very useful toolkit for developing messaging with broad appeal."
"New Housing Slows Rent Growth Most For Older More Affordable Units","Pew","2025","https://www.pew.org/en/research-and-analysis/articles/2025/07/31/new-housing-slows-rent-growth-most-for-older-more-affordable-units","","Research Brief, News Article or Blog","Land Use","National","Plain Language","Unlock Supply","Demonstrates that building more homes, even at market rates, expands overall supply and helps keep older units affordable."
"How Housing Costs Drive Levels of Homelessness","Pew","2023","https://www.pew.org/en/research-and-analysis/articles/2023/08/22/how-housing-costs-drive-levels-of-homelessness","","Research Brief, News Article or Blog","Land Use; Homelessness Prevention","National","Plain Language","Unlock Supply","Shows that insufficient housing supply drives up costs and increases homelessness, underscoring the need for abundant housing."
"Minneapolis Land Use Reforms Offer a Blueprint for Housing Affordability","Pew","2024","https://www.pew.org/en/research-and-analysis/articles/2024/01/04/minneapolis-land-use-reforms-offer-a-blueprint-for-housing-affordability","","News Article or Blog, Case study","Land Use","Midwest","Plain Language","Unlock Supply","Highlights how zoning reforms that allow more housing types and density advance abundance and affordability."
"Lot-Size Reform Unlocks Affordable Homeownership in Houston","Pew","2023","https://www.pew.org/en/research-and-analysis/issue-briefs/2023/09/lot-size-reform-unlocks-affordable-homeownership-in-houston","","News Article or Blog, Case study","Land Use; Homeownership","South","Plain Language","Unlock Supply","Illustrates that loosening restrictive lot-size rules can unlock abundant, moderately priced homeownership options."
"Survey Finds Large Majorities Favor Policies to Enable More Housing","Pew","2023","https://www.pew.org/en/research-and-analysis/articles/2023/11/30/survey-finds-large-majorities-favor-policies-to-enable-more-housing","","Research Brief, News Article or Blog","Land Use","National","Plain Language","Unlock Supply","Indicates strong public backing for abundance-oriented policies that make it easier to build."
"Principles for Enhancing Housing Availability and Affordability","Pew","2025","https://www.pew.org/-/media/assets/2025/09/principles-for-enhancing-housing-availability-and-affordability.pdf","","Research Brief, News Article or Blog","Land Use","National","Plain Language","Unlock Supply","Establishes a framework for abundance by promoting policies that increase the supply and diversity of homes."
"Pro-Housing State Lawmakers have a 95% Re-election Rate","Pew & YIMBY Action","2024","https://yimbyaction.org/blog/pro-housing-state-lawmakers-have-a-95-re-election-rate/","","Research Brief","Land Use","National","Plain Language","Unlock Supply","Suggests that abundance-oriented policymaking is politically viable and can succeed without electoral backlash."
"Legalizing Inexpensive Housing","Sightline","2023","https://www.sightline.org/series/legalizing-inexpensive-housing/","","Case study, News Article or Blog","Land Use","National","Scanable; Plain Language","Unlock Supply","Enable more and cheaper housing through regulatory reform."
"Navigating Uncertainty in Federal Funding Streams for housing","NYU Furman Center for Housing Solutions","2025","https://www.localhousingsolutions.org/policy-insights/navigating-uncertainty-in-federal-funding-streams-for-housing/","","Case study","Financing Projects","National; Northeast; Midwest; South","Plain Language","Unlock Supply","Enables more efficient use of resources to expand housing supply."
"Residential Development on Faith-owned land","NYU Furman Center for Housing Solutions","2025","https://www.localhousingsolutions.org/housing-policy-library/residential-development-on-faith-owned-land/","","Research Brief","Land Use; Financing Projects","National","Plain Language","Unlock Supply","By activating mission-driven landholders to build affordable homes, this approach taps underused land for abundant, community-oriented housing."
"Public Developer Models in the US and Beyond","NYU Furman Center for Housing Solutions","2025","https://www.localhousingsolutions.org/policy-insights/social-housing-and-public-developer-models-in-the-us-and-beyond/","","Research Brief","Land Use; Financing Projects","National","Plain Language","Unlock Supply","Advances abundance through direct public investment in new homes."
"Affordable manufactured and modular housing strategies from Norwood, CO; Minneapolis, MN; and Halifax, MA","NYU Furman Center for Housing Solutions","2023","https://www.localhousingsolutions.org/housing-policy-case-studies/affordable-manufactured-and-modular-housing-strategies-from-norwood-co-minneapolis-mn-and-halifax-ma/","","Case study","Innovation in Building","National; Northeast; Midwest; West","Plain Language","Unlock Supply","highlights how manufactured and off-site construction can accelerate housing production and lower costs, enabling more homes to be built quickly and efficiently."
"The Financial Impact of Construction Defect Liability on Housing Development in California","Terner Center","2025","https://ternercenter.berkeley.edu/blog/the-financial-impacts-of-construction-defect-liability-on-housing-development-in-california/","","Case study, Research Brief","Land Use","West","Scanable","Unlock Supply","Legal reform that has the potential to unblock supply streams."
"Planning for Housing in a Regional Context","Urban Institute","2025","https://www.urban.org/research/publication/planning-housing-regional-context","","Research Brief","Land Use","National","Plain Language","Unlock Supply","Promotes smarter regional planning that supports more homes where infrastructure exists."
"Advancing Pro-housing Land Use Policy at the State Level","Urban Institute","2025","https://www.urban.org/research/publication/advancing-pro-housing-land-use-policy-state-level","","Research Brief","Land Use","National","Plain Language","Unlock Supply","Identifies state policies that remove barriers and make it easier to build more homes."
"Addressing Housing Supply Challenges through Target Setting","Urban Institute","2025","https://www.urban.org/sites/default/files/2025-09/Final_Addressing_Housing_Supply_Challenges_through_Target_Setting.pdf","","Research Brief","Land Use","National","Plain Language","Unlock Supply","Target-setting can catalyze more housing construction in places where it is most needed, boosting overall supply."
"Inclusionary Zoning Hurst More Than It Helps","Mercatus Center","2021","https://www.mercatus.org/research/policy-briefs/inclusionary-zoning-hurts-more-it-helps","Research Brief","Land Use"
"To Fix Inclusionary Zoning, Fund It","Sightline","2024","https://www.sightline.org/2024/10/28/to-fix-inclusionary-zoning-fund-it/","Research Brief","Land Use; Financing Projects"
"Beyond Zoning","Center for Building in North America","2025","https://www.centerforbuilding.org/publication/beyond-zoninghidden-code-barriers-to-middle-scale-housing","Research Brief","Land Use; Innovation in Building"
"Abundance Housing Quick Start Guide","Abundance Network","2025","https://docs.google.com/document/d/17h1Pi74KtgyYiEvcBeInJbJQ7ElAh3a9IGMObf9zS_I/edit?usp=sharing","A scanable guide to Abundant-aligned housing policies.","Guide or Toolkit","Land Use; Financing Projects; Innovation in Building; Homelessness Prevention","Unlock Supply"
"Incentives in Housing Series","UCLA Lewis Center","2025","https://www.lewis.ucla.edu/programs/housing/ucla-housing-voice-podcast/incentives/","Podcast series that examines misaligned incentives in housing policy, including building codes and zoning.","News Article or Blog","Land Use; Innovation in Building; Homeownership","Unlock Supply"
"Supply Skepticism Revisited","NYU Law & Economic Research","2025","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4629628","Empirical evidence around the stablizing effect of adding new supply on housing prices.","Research Brief","Land Use","Unlock Supply"
